epoch,loss,acc
1,4.73999547958374,0.0384114570915699
2,4.660712242126465,0.02966889925301075
3,4.524632930755615,0.02887834794819355
4,4.45629358291626,0.0443173348903656
5,4.2501678466796875,0.0633835569024086
6,4.09238338470459,0.0827520489692688
7,3.9208948612213135,0.1114211305975914
8,3.7214744091033936,0.134323850274086
9,3.563060998916626,0.1657133549451828
10,3.394052505493164,0.200148805975914
11,3.264296770095825,0.2229352742433548
12,3.1076695919036865,0.2548363208770752
13,2.972911834716797,0.2806222140789032
14,2.8597958087921143,0.2991536557674408
15,2.76440691947937,0.3131045401096344
16,2.670133590698242,0.3297991156578064
17,2.57832932472229,0.3482142984867096
18,2.5074996948242188,0.357328861951828
19,2.4429850578308105,0.3692568838596344
20,2.379246711730957,0.3807896077632904
21,2.322181463241577,0.390718013048172
22,2.2658915519714355,0.4085519015789032
23,2.2114603519439697,0.4187360405921936
24,2.1576099395751953,0.4327566921710968
25,2.0909996032714844,0.4460797905921936
26,2.034173011779785,0.459077388048172
27,1.9834463596343994,0.4695172905921936
28,1.9440072774887085,0.4785388708114624
29,1.9025324583053589,0.485746830701828
30,1.8476167917251587,0.4999535083770752
31,1.7948334217071533,0.511114239692688
32,1.7517204284667969,0.5225539207458496
33,1.7103049755096436,0.531133770942688
34,1.6676305532455444,0.5463169813156128
35,1.6288237571716309,0.5522925853729248
36,1.582170009613037,0.5672432780265808
37,1.5531532764434814,0.5735211968421936
38,1.525326132774353,0.5801711082458496
39,1.4791064262390137,0.5915643572807312
40,1.4434176683425903,0.6008649468421936
41,1.4004545211791992,0.6120721697807312
42,1.3606294393539429,0.6226515769958496
43,1.326108455657959,0.6320684552192688
44,1.2970813512802124,0.6393926739692688
45,1.270472526550293,0.6448799967765808
46,1.2377451658248901,0.6569475531578064
47,1.2084733247756958,0.6642252802848816
48,1.1804547309875488,0.6730143427848816
49,1.1517319679260254,0.6786644458770752
50,1.1304566860198975,0.6836402416229248
51,1.1081998348236084,0.6922200322151184
52,1.071339726448059,0.7008928656578064
53,1.0464270114898682,0.706356942653656
54,1.0250238180160522,0.7140299677848816
55,0.9973662495613098,0.721307635307312
56,0.9773081541061401,0.7252604365348816
57,0.951330304145813,0.7313755750656128
58,0.9344482421875,0.7381417155265808
59,0.905738353729248,0.7461867332458496
60,0.8888951539993286,0.7489537000656128
61,0.8696510791778564,0.7520228624343872
62,0.842946469783783,0.7592308521270752
63,0.8241145014762878,0.7638811469078064
64,0.8068329095840454,0.76904296875
65,0.7923201322555542,0.7723679542541504
66,0.7755985260009766,0.779296875
67,0.7579731345176697,0.783993661403656
68,0.7390307188034058,0.7893182635307312
69,0.7202585935592651,0.7929222583770752
70,0.7076714038848877,0.7974097728729248
71,0.6929433345794678,0.7988746166229248
72,0.6791132688522339,0.8053153157234192
73,0.6661205887794495,0.8080822229385376
74,0.652374804019928,0.8127092719078064
75,0.6334115862846375,0.8173363208770752
76,0.6168522834777832,0.822939932346344
77,0.6057268381118774,0.8241257667541504
78,0.592772364616394,0.8276599645614624
79,0.5857617259025574,0.8306128978729248
80,0.5718247294425964,0.8337518572807312
81,0.5559330582618713,0.837518572807312
82,0.5447115898132324,0.8427037000656128
83,0.5370369553565979,0.8420293927192688
84,0.5259928107261658,0.8459588885307312
85,0.5193204283714294,0.8477027416229248
86,0.5048147439956665,0.852655291557312
87,0.5010233521461487,0.8531901240348816
88,0.4796615242958069,0.8610026240348816
89,0.46646925806999207,0.8640252947807312
90,0.45405614376068115,0.869814932346344
91,0.4502841532230377,0.8672339916229248
92,0.44864463806152344,0.8695591688156128
93,0.43661198019981384,0.8726515769958496
94,0.42938047647476196,0.8758835792541504
95,0.4214181900024414,0.8760695457458496
96,0.41434332728385925,0.8788365125656128
97,0.40822291374206543,0.8814173936843872
98,0.39914625883102417,0.8824637532234192
99,0.3897463381290436,0.8870442509651184
100,0.3735641837120056,0.890811026096344
